molecule,logp,dataset_type
BrBr,1.03,train
BrC(Br)(Br)c1ccc2ccccc2n1,4.31,validation
BrC(Br)=C(Br)Br,2.57,train
BrC(Br)C(Br)(Br)Br,3.56,train
BrC(Br)C(Br)Br,2.55,test
BrC(Br)c1cccc(C(Br)Br)c1,4.31,train
BrC(c1ccccc1)(c1ccccc1)c1ccccc1,5.67,validation
BrC(c1ccccc1)c1ccccc1,4.0,validation
BrC12CC3CC(CC(C3)C1)C2,4.24,train
BrC1=NC(Br)C(Br)=N1,1.96,train
BrC1=NC(Br)N=N1,2.24,train
BrC1CC2CCC1C2,3.54,train
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,7.74,train
BrC1CCCC1,2.95,validation
BrC1CCCCC1,3.2,train
BrC1Cc2ccccc2C1Br,4.01,train
BrC1c2ccccc2-c2ccccc21,4.0,train
BrC=C(Br)Br,3.2,train
BrC=CBr,1.76,train
BrC=Cc1ccccc1,3.15,train
BrCC(Br)(Br)Br,3.29,train
BrCC(Br)(Br)CBr,3.78,train
BrCC(Br)Br,2.28,train
BrCC(Br)C(Br)CBr,3.53,validation
BrCC(Br)C1CCC(Br)C(Br)C1,5.24,train
BrCC(Br)CBr,2.77,train
BrCC(Br)c1ccc(C(Br)CBr)cc1,5.3,train
BrCC(Br)c1cccc(C(Br)CBr)c1,5.3,train
BrCC(Br)c1ccccc1,3.64,train
BrCC(CBr)(CBr)CBr,3.99,train
BrCC1CCCO1,1.7,validation
BrCC1CO1,0.85,train
BrCC=CCBr,2.78,train
BrCC=Cc1ccccc1,3.65,train
BrCCBr,1.96,validation
BrCCC1CCCCC1,4.43,train
BrCCCBr,2.37,train
BrCCCCBr,2.99,train
BrCCCCCBr,3.48,train
BrCCCCCCBr,3.97,train
BrCCCCCCCBr,4.47,test
BrCCCCCCCCBr,4.96,train
BrCCCCCCCCCCBr,6.12,train
BrCCCCCCCCCCCBr,6.43,validation
BrCCCCCCCCCCCCBr,6.92,train
BrCCCCCCCCCCCCCCBr,7.9,train
BrCCCCOc1ccccc1,3.89,validation
BrCCCN(CCCBr)c1ccc(N=Nc2ccccc2)cc1,6.94,train
BrCCCNBr,-2.5,train
BrCCCOc1ccccc1,3.4,validation
BrCCCc1ccccc1,3.72,train
BrCCI,2.43,train
BrCCN(CCBr)c1ccc(N=Nc2ccccc2)cc1,5.96,validation
BrCCN(CCBr)c1ccccc1,3.84,test
BrCCNBr,-2.99,train
BrCCOc1ccccc1,2.91,train
BrCCSCCSCCBr,3.17,train
BrCCc1ccccc1,3.09,train
BrCI,1.93,train
BrCOCBr,0.75,train
BrCc1c2ccccc2cc2c1ccc1ccccc12,6.41,train
BrCc1ccc(Br)cc1,3.77,validation
BrCc1ccc(CBr)cc1,3.77,train
BrCc1ccc2ccccc2c1,4.06,train
BrCc1cccc(CBr)c1,3.77,train
BrCc1cccc(Oc2ccccc2)c1,4.94,train
BrCc1ccccc1,2.92,train
BrCc1ccccc1Br,3.77,train
BrCc1ccccc1CBr,3.77,train
BrCc1nc2ccccc2nc1CBr,2.9,validation
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,6.07,validation
Brc1c(Br)c(Br)c(Oc2ccccc2)c(Br)c1Br,6.71,train
Brc1c2ccccc2c(Br)c2ccccc12,6.29,train
Brc1c2ccccc2c2ccc3cccc4ccc1c2c43,7.0,train
Brc1c2ccccc2cc2ccccc12,5.37,train
Brc1c[nH]nc1Br,1.84,validation
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,6.39,train
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,6.39,train
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,6.03,train
Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,5.5,train
Brc1cc(Br)c(Br)c(Br)c1,5.55,test
Brc1cc(Br)c(Br)c(Br)c1Br,6.44,train
Brc1cc(Br)c(Br)cc1Br,5.13,train
Brc1cc(Br)c(Br)s1,4.48,test
Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,2.54,train
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.74,validation
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,9.15,test
Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,8.71,train
Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)c(Br)c1Br,8.62,test
Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,7.4,validation
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,7.6,validation
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,7.6,train
Brc1cc(Br)c(Oc2ccc(Br)c(Br)c2)c(Br)c1,6.71,test
Brc1cc(Br)c2ccc3cccc4ccc1c2c43,6.85,train
Brc1cc(Br)cc(COCC(c2ccccc2)N2CCNCC2)c1,2.8,train
Brc1cc2c(Br)c(Br)c(Br)cc2c(Br)c1Br,8.51,train
Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,7.9,test
Brc1cc2c(cc1Br)Oc1ccccc1O2,6.12,train
Brc1cc2ccc3cccc4ccc(c1)c2c34,5.8,test
Brc1cc2cccc3ccc4cccc1c4c32,5.84,validation
Brc1cc2ccccc2c2ccccc12,5.24,train
Brc1cc2ccccc2nn1,1.72,train
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,6.1,train
Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,5.5,validation
Brc1ccc(-c2cc3ccccn3c2)cc1,5.43,test
Brc1ccc(-c2ccc(COCCNN3CCCC3)cc2)cc1,4.23,train
Brc1ccc(-c2cccc(Br)c2Br)cc1Br,7.32,train
Brc1ccc(-c2ccccc2)cc1,4.96,train
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,7.1,validation
Brc1ccc(Br)c(-c2cc(Br)ccc2Br)c1,6.5,validation
Brc1ccc(Br)c(Br)c1,4.66,validation
Brc1ccc(Br)c(Br)c1Br,5.55,train
Brc1ccc(Br)c(N=C2NCCN2)c1,2.71,train
Brc1ccc(Br)c(Oc2ccccc2Br)c1,5.52,train
Brc1ccc(Br)c2ccccc12,4.95,train
Brc1ccc(Br)cc1,3.79,train
Brc1ccc(Br)s1,3.59,test
Brc1ccc(CNCC2CCC(CNCc3ccc(Br)cc3)CC2)cc1,7.2,train
Brc1ccc(I)cc1,4.05,train
Brc1ccc(N=C2NCCN2)cc1,1.75,test
Brc1ccc(NC2=NCCN2)cc1,1.75,validation
Brc1ccc(OCCCCCCCCCCN2CCSC2)nc1,5.83,train
Brc1ccc(OCCCCCCCCN2CCSC2)nc1,4.85,test
Brc1ccc(OCCCCCCCN2CCSC2)nc1,4.36,train
Brc1ccc(OCCCCCCN2CCSC2)nc1,3.87,train
Brc1ccc(OCCCCCCNCCSSCCNCCCCCCOc2ccc(Br)cn2)nc1,8.55,train
Brc1ccc(OCCCCCN2CCSC2)nc1,3.38,train
Brc1ccc(OCCCCCNCCSSCCNCCCCCOc2ccc(Br)cn2)nc1,7.57,test
Brc1ccc(OCCCCN2CCSC2)nc1,2.88,test
Brc1ccc(OCCCN2CCSC2)nc1,2.39,train
Brc1ccc(OCCCNCCSSCCNCCCOc2ccc(Br)cn2)nc1,5.61,test
Brc1ccc(OCCN2CCSC2)nc1,1.9,train
Brc1ccc(OCCNCCSSCCNCCOc2ccc(Br)cn2)nc1,4.62,train
Brc1ccc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,9.44,test
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,6.83,test
Brc1ccc(Oc2c(Br)cccc2Br)cc1,5.52,train
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,7.66,train
Brc1ccc(Oc2cc(Br)cc(Br)c2)cc1,5.52,test
Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1,5.52,train
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,7.66,test
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1Br,8.55,train
Brc1ccc(Oc2ccc(Br)cc2)cc1,5.83,train
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,6.77,train
Brc1ccc(Oc2ccc(Br)cc2Br)cc1,5.88,train
Brc1ccc(Oc2ccccc2)cc1,4.94,validation
Brc1ccc(Oc2ccccc2Br)c(Br)c1,5.59,train
Brc1ccc(SCCCCCCCCCCN2CCSC2)nc1,6.35,train
Brc1ccc(SCCCCCCCN2CCSC2)nc1,4.88,train
Brc1ccc(SCCCCCCN2CCSC2)nc1,4.39,train
Brc1ccc(SCCCCCN2CCSC2)nc1,3.89,train
Brc1ccc(SCCCCN2CCSC2)nc1,3.4,train
Brc1ccc(Sc2ccc(Br)cc2)cc1,6.07,train
Brc1ccc2[nH]cc(C3CCCN3Cc3ccccc3)c2c1,4.85,train
Brc1ccc2[nH]ccc2c1,3.0,train
Brc1ccc2c(c1)CC=N2,3.0,train
Brc1ccc2c(c1)Cc1ccccc1-2,4.91,train
Brc1ccc2c(c1)Oc1cc(Br)ccc1O2,6.12,train
Brc1ccc2c(c1)Oc1ccc(Br)cc1O2,6.12,train
