,molecule,logp,dataset_type
0,N#CCOC(=O)c1ccccc1SCC(=O)N1CCCC1,2.57,validation
1,C=Cc1ccc(CC)cc1,4.19,validation
2,COC(=O)CS(=O)c1ccc([N+](=O)[O-])cc1Cl,1.35,validation
3,COCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,1.38,validation
4,CCCCOc1ccc(C(N)=O)cc1,2.48,validation
5,N=c1[nH]c(=O)n(C2CCC(CO)O2)cc1Br,-0.5,validation
6,COc1cc([C@@H]2C3=C(CCCC3=O)N(c3ccccc3C(F)(F)F)C(=N)C2C(=O)c2ccccc2)cc(OC)c1OC,4.51,validation
7,c1ccc(CSc2c[nH]nn2)cc1,2.65,validation
8,CC(C)c1nc([N+](=O)[O-])c[nH]1,0.9,validation
9,CN(C)C(=O)Nc1cccc(N)c1,-0.1,validation
10,CCC(C)NC(=O)C(=Cc1ccccc1)SC,3.03,validation
11,Clc1ccsc1,2.55,validation
12,Cc1cc(C)c(S(=O)(=O)c2ccc(N)cc2)c(C)c1,3.06,validation
13,CCOC(=O)Cn1cnc(I)c1[N+](=O)[O-],0.93,validation
14,N=c1nc(-c2ccc([N+](=O)[O-])cc2)[nH]c(=N)[nH]1,1.6,validation
15,O=C(O)CNc1ccccc1,0.62,validation
16,Cc1cc(O)cc(C)c1O,1.0,validation
17,CC12CCC(=O)C=C1C(F)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.67,validation
18,CCCC1(c2ccncc2)CCC(=O)NC1=O,1.13,validation
19,Cc1cnc2cccc(C)n2c1=O,1.26,validation
20,CNC(=O)ON=CC(C)(C)[N+](=O)[O-],0.36,validation
21,O=C(O)c1ccc2c(c1)OCCOCCOCCOCCOCCO2,-0.28,validation
22,O=[N+]([O-])c1cnc(N=C2OCCN2CCO)s1,0.43,validation
23,O=C(NC(CO)C(O)c1cccc([N+](=O)[O-])c1)C(Cl)Cl,1.15,validation
24,CCCCN(CCCC)C(=O)COc1ccccc1,3.23,validation
25,O=C(O)CNC(=O)c1cccc(I)c1,1.88,validation
26,Cc1ccc(S(=O)(=O)NC(=O)C(C)C)c([N+](=O)[O-])c1,2.17,validation
27,O=C(O)c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,2.5,validation
28,CC(=O)OC(C(=O)ON=C(C)C12CC3CC(CC(C3)C1)C2)c1ccccc1,5.89,validation
29,CC(=O)C(=Cc1ccccc1Cl)C(C)=O,2.19,validation
30,COC(=O)C1=C(C)N=C(C)C(C(=O)OC)[C@@H]1c1cccc(Cl)c1,4.22,validation
31,O=C(Cc1ccccc1)NCCNCC(O)COCCCc1ccccc1,1.62,validation
32,CCOC(=O)c1ccco1,1.52,validation
33,COC(=O)Nc1ccc(Cl)c(Cl)c1,3.32,validation
34,Cn1cc([N+](=O)[O-])nc1Br,0.33,validation
35,COc1c(OC)c(OC(C)=O)c2cc(NC(C)=O)ccc2c1OC(C)=O,2.0,validation
36,CCC1CC2C3CC=C4CC(=O)CCC4C3CCC2(C)C1C(=O)CO,4.01,validation
37,CCCc1n[nH]c(=N)o1,0.23,validation
38,CCN(C)C(=O)CCn1ccc(=O)c(O)c1C,-0.69,validation
39,O=C(O)c1cccc(CSc2ccccc2)c1O,4.28,validation
40,CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N(C)CCOCOCCOC)OC1=O,2.21,validation
41,C=CCC1(C(C)(C)C)C(=O)NC(=O)NC1=O,1.64,validation
42,CCCCCCCCC(CCC)c1ccccc1,8.07,validation
43,CC(=O)OCC1OC(NC(=O)N(CCCl)N=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,1.04,validation
44,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-0.27,validation
45,CC(C)=CC1C(C(=O)OCc2ccccc2)C1(C)C,5.49,validation
46,O=C(NCCc1ccccc1)c1ccc(Cl)cc1,3.71,validation
47,NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,-1.33,validation
48,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,0.23,validation
49,Cn1c(=N)[nH]c2ccc(Cl)cc21,2.01,validation
50,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])C(C)=O)C([O-])O,-1.66,validation
51,CNC(=O)Nc1ccc(Cl)c(Cl)c1,2.94,validation
52,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,5.11,validation
53,CN(C)CNC(=O)c1ccccc1,0.63,validation
54,Cc1cc(Br)ccc1NC(=O)c1cc(F)ccc1O,5.15,validation
55,CCOc1nccnc1C,1.82,validation
56,CC(C)C(NC(=O)CN)C(=O)O,-1.33,validation
57,Clc1ccc(-c2ccccc2)cc1Cl,5.29,validation
58,CC1CCCCC1,3.61,validation
59,CC#CC#CC#CC=CC(=O)OC,3.85,validation
60,CC1CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,2.58,validation
61,NCCCCc1ccccc1,2.4,validation
62,CC(C)OC(=O)CS(=O)(=O)c1ccc(Cl)cc1,2.04,validation
63,Cc1ccc(OC(=O)N(C)C)cc1,2.03,validation
64,CCC(=O)C(CS(=O)(=O)c1ccc(C)cc1)c1ccc(OC)cc1,2.47,validation
65,Cn1ccc(=O)c2ccccc21,0.44,validation
66,CCCCSc1nnc(C(C)C)c(=O)n1N,3.21,validation
67,N=C1NCC(COc2ccccc2Cl)O1,1.77,validation
68,Cn1c(O)ccc1O,-0.95,validation
69,CC1(C)Oc2c(O)cccc2C1=O,1.87,validation
70,Cc1cccc(NC(=O)CSc2ccccn2)c1C,3.19,validation
71,CCC(=O)c1ccccc1O,2.54,validation
72,COc1ccccc1OC,1.6,validation
73,O=C(O)C(O)c1ccccc1,0.62,validation
74,COc1cccc(S(C)(=O)=O)c1,0.76,validation
75,CNc1ccccc1[N+](=O)[O-],2.18,validation
76,N=c1[nH]cnc2c1ncn2C1OC2COP(=O)(OCc3ccccc3)OC2C1O,1.15,validation
77,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,4.29,validation
78,CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCN=c1[nH][nH]c(=N)[nH]1)C(C)C,4.0,validation
79,CCCCOc1ccc(C(=O)OCCN(C)C)cc1,3.91,validation
80,Cc1ccc(-c2noc(C)n2)cc1,2.74,validation
81,CC(=O)OCC1SC(n2ccnc2[N+](=O)[O-])C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0.63,validation
82,Oc1cc(O)n(Cc2ccccc2)c1,0.76,validation
83,CCCCCCc1ccncc1,4.35,validation
84,CCS(=O)c1sc(C(C)=O)c(C)c1C#N,2.22,validation
85,CC(=O)Nc1ccccc1,1.16,validation
86,Cc1cccc2cc3cccc(C(=O)NCCCN(C)CCCN=c4[nH][n+]([O-])c5ccccc5[n+]4[O-])c3nc12,2.28,validation
87,O=C1c2ccccc2-c2ccccc21,3.58,validation
88,CCCCC(C)O,1.76,validation
89,CC1(C)N=C(N)N=C(N)N1c1cccc(C#N)c1,-0.24,validation
90,CC(=O)OCC(COC(C)=O)OC(C)=O,0.25,validation
91,CCOc1ccc(OC(=O)NC)cc1,1.63,validation
92,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,4.25,validation
93,NS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,-0.96,validation
94,COc1ccc(C(C)=O)cc1COC(=O)c1cc(Cl)ccc1Cl,4.45,validation
95,c1ccc2nn(C34CC5CC(CC(C5)C3)C4)nc2c1,4.3,validation
96,O=NN1CCNCC1,0.18,validation
97,C=CCn1cnc2c(=N)n(C)c(=O)[nH]c21,-0.57,validation
98,Cc1ccc(NC(=O)N(C)C)cc1,1.33,validation
99,Cc1cc(C)cc(NCc2cnc3[nH]c(=N)[nH]c(=N)c3c2C)c1,2.11,validation
100,CCCCCCCSC1OC(CO)C(O)C(O)C1O,1.5,validation
101,COc1ccc(Cl)c(Cl)c1Cl,3.74,validation
102,CC(=O)Oc1ccc(C(=O)Nc2cccc(C(=O)c3cccc(NC(=O)c4ccc(OC(C)=O)cc4)c3)c2)cc1,5.34,validation
103,CC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-0.2,validation
104,Clc1cc(Cl)c(Oc2ccccc2)c(Cl)c1Cl,5.88,validation
105,COC(=O)C=C1OC(=N)C(C(=O)OCc2ccccc2)[C@@]2(C(=O)Nc3ccccc32)C1C(=O)OC,4.25,validation
106,CC(C)(C)C1CCN(N=O)CC1,2.54,validation
107,Clc1cccc(Cl)c1-c1ccccc1,4.98,validation
108,CC(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O,-0.54,validation
109,COc1ccc([C@H]2C[C@H](C(F)(F)F)n3ncc(C(=O)N(C)Cc4cnn(C)c4C)c3N2)cc1OC,4.25,validation
110,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1,2.63,validation
111,Cc1cccc(C)n1,1.68,validation
112,Clc1ccc(Cl)c(NC2=NCCN2)c1,2.04,validation
113,CC[C@H]1CS/C(=N\c2cccc(C)c2)N1C(=O)CCN1C(=O)c2ccccc2C1=O,4.96,validation
114,CCN(CC)CCSC(=NO)c1nc(C)no1,0.71,validation
115,CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.27,validation
116,O=C(O)c1ccccc1O,2.26,validation
117,CCc1cc(C)ccc1C,4.43,validation
118,NC(=O)c1ccc(Cl)nn1,0.0,validation
119,NC(=O)c1cnc2ccccc2c1,1.06,validation
120,COc1ccc2c(=O)c(C)c(C(C)C)oc2c1,3.39,validation
121,N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])c(Cl)c1,1.79,validation
122,Nc1ccc(S(=O)(=O)c2ccc(Cl)cc2)cc1,2.57,validation
123,O=[N+]([O-])c1ccc(OCCn2ccnc2)cc1,1.69,validation
124,CC12C=CC(=O)C=C1C(F)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.51,validation
125,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,5.19,validation
126,CN(C)C(=O)Oc1ccc(CC(NC(=O)C2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCCOc2ccccc2)cc1,3.27,validation
127,CNC(=O)Nc1cccc(Cl)c1,2.18,validation
128,NC1CC2OC1c1ccccc12,0.4,validation
129,ClCC(Cl)(Cl)CCl,2.72,validation
130,CSc1cc(C(C)C(=O)O)ccc1-c1nccs1,3.02,validation
