smi_std,smiles,logp,source,units
CCCCOc1c(OC)cc(CCN)cc1OC,CCCCOc1c(OC)cc(CCN)cc1OC,2.32,OpenChem.sdf,
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,6.25,OpenChem.sdf,
Oc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,Oc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,1.52,OpenChem.sdf,
Nc1cc[nH]c(=O)n1,Nc1cc[nH]c(=O)n1,-1.73,OpenChem.sdf,
CC(C)(C)NCC(O)COCC=Cc1ccccc1,CC(C)(C)NCC(O)COCC=Cc1ccccc1,2.29,OpenChem.sdf,
CCOP(=O)(OCC)Oc1ccc(SC)cc1,CCOP(=O)(OCC)Oc1ccc(SC)cc1,2.79,OpenChem.sdf,
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.19,OpenChem.sdf,
CCN1C(=N)SC(=Cc2ccc([N+](=O)[O-])o2)C1=O,CCN1C(=N)SC(=Cc2ccc([N+](=O)[O-])o2)C1=O,1.44,OpenChem.sdf,
CCCCCCCc1nn[nH]n1,CCCCCCCc1nn[nH]n1,2.01,OpenChem.sdf,
Cn1c2c(c3cc(Cl)ccc31)CCNC2,Cn1c2c(c3cc(Cl)ccc31)CCNC2,2.3,OpenChem.sdf,
Cc1ccc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)c(C)c1,Cc1ccc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)c(C)c1,3.18,OpenChem.sdf,
O=C(O)c1ccccc1Nc1cccc(O)c1,O=C(O)c1ccccc1Nc1cccc(O)c1,3.49,OpenChem.sdf,
