molecule,logp,dataset_type
N#CCOC(=O)c1ccccc1SCC(=O)N1CCCC1,2.57,validation
C=Cc1ccc(CC)cc1,4.19,validation
COC(=O)CS(=O)c1ccc([N+](=O)[O-])cc1Cl,1.35,validation
COCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,1.38,validation
CCCCOc1ccc(C(N)=O)cc1,2.48,validation
N=c1[nH]c(=O)n(C2CCC(CO)O2)cc1Br,-0.5,validation
COc1cc([C@@H]2C3=C(CCCC3=O)N(c3ccccc3C(F)(F)F)C(=N)C2C(=O)c2ccccc2)cc(OC)c1OC,4.51,validation
c1ccc(CSc2c[nH]nn2)cc1,2.65,validation
CC(C)c1nc([N+](=O)[O-])c[nH]1,0.9,validation
CN(C)C(=O)Nc1cccc(N)c1,-0.1,validation
CCC(C)NC(=O)C(=Cc1ccccc1)SC,3.03,validation
Clc1ccsc1,2.55,validation
Cc1cc(C)c(S(=O)(=O)c2ccc(N)cc2)c(C)c1,3.06,validation
CCOC(=O)Cn1cnc(I)c1[N+](=O)[O-],0.93,validation
N=c1nc(-c2ccc([N+](=O)[O-])cc2)[nH]c(=N)[nH]1,1.6,validation
O=C(O)CNc1ccccc1,0.62,validation
Cc1cc(O)cc(C)c1O,1.0,validation
CC12CCC(=O)C=C1C(F)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.67,validation
CCCC1(c2ccncc2)CCC(=O)NC1=O,1.13,validation
Cc1cnc2cccc(C)n2c1=O,1.26,validation
CNC(=O)ON=CC(C)(C)[N+](=O)[O-],0.36,validation
O=C(O)c1ccc2c(c1)OCCOCCOCCOCCOCCO2,-0.28,validation
O=[N+]([O-])c1cnc(N=C2OCCN2CCO)s1,0.43,validation
O=C(NC(CO)C(O)c1cccc([N+](=O)[O-])c1)C(Cl)Cl,1.15,validation
CCCCN(CCCC)C(=O)COc1ccccc1,3.23,validation
O=C(O)CNC(=O)c1cccc(I)c1,1.88,validation
Cc1ccc(S(=O)(=O)NC(=O)C(C)C)c([N+](=O)[O-])c1,2.17,validation
O=C(O)c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,2.5,validation
CC(=O)OC(C(=O)ON=C(C)C12CC3CC(CC(C3)C1)C2)c1ccccc1,5.89,validation
CC(=O)C(=Cc1ccccc1Cl)C(C)=O,2.19,validation
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)[C@@H]1c1cccc(Cl)c1,4.22,validation
O=C(Cc1ccccc1)NCCNCC(O)COCCCc1ccccc1,1.62,validation
CCOC(=O)c1ccco1,1.52,validation
COC(=O)Nc1ccc(Cl)c(Cl)c1,3.32,validation
Cn1cc([N+](=O)[O-])nc1Br,0.33,validation
COc1c(OC)c(OC(C)=O)c2cc(NC(C)=O)ccc2c1OC(C)=O,2.0,validation
CCC1CC2C3CC=C4CC(=O)CCC4C3CCC2(C)C1C(=O)CO,4.01,validation
CCCc1n[nH]c(=N)o1,0.23,validation
CCN(C)C(=O)CCn1ccc(=O)c(O)c1C,-0.69,validation
O=C(O)c1cccc(CSc2ccccc2)c1O,4.28,validation
CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N(C)CCOCOCCOC)OC1=O,2.21,validation
C=CCC1(C(C)(C)C)C(=O)NC(=O)NC1=O,1.64,validation
CCCCCCCCC(CCC)c1ccccc1,8.07,validation
CC(=O)OCC1OC(NC(=O)N(CCCl)N=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,1.04,validation
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-0.27,validation
CC(C)=CC1C(C(=O)OCc2ccccc2)C1(C)C,5.49,validation
O=C(NCCc1ccccc1)c1ccc(Cl)cc1,3.71,validation
NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,-1.33,validation
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,0.23,validation
Cn1c(=N)[nH]c2ccc(Cl)cc21,2.01,validation
CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])C(C)=O)C([O-])O,-1.66,validation
CNC(=O)Nc1ccc(Cl)c(Cl)c1,2.94,validation
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,5.11,validation
CN(C)CNC(=O)c1ccccc1,0.63,validation
Cc1cc(Br)ccc1NC(=O)c1cc(F)ccc1O,5.15,validation
CCOc1nccnc1C,1.82,validation
CC(C)C(NC(=O)CN)C(=O)O,-1.33,validation
Clc1ccc(-c2ccccc2)cc1Cl,5.29,validation
CC1CCCCC1,3.61,validation
CC#CC#CC#CC=CC(=O)OC,3.85,validation
CC1CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,2.58,validation
NCCCCc1ccccc1,2.4,validation
CC(C)OC(=O)CS(=O)(=O)c1ccc(Cl)cc1,2.04,validation
Cc1ccc(OC(=O)N(C)C)cc1,2.03,validation
CCC(=O)C(CS(=O)(=O)c1ccc(C)cc1)c1ccc(OC)cc1,2.47,validation
Cn1ccc(=O)c2ccccc21,0.44,validation
CCCCSc1nnc(C(C)C)c(=O)n1N,3.21,validation
N=C1NCC(COc2ccccc2Cl)O1,1.77,validation
Cn1c(O)ccc1O,-0.95,validation
CC1(C)Oc2c(O)cccc2C1=O,1.87,validation
Cc1cccc(NC(=O)CSc2ccccn2)c1C,3.19,validation
CCC(=O)c1ccccc1O,2.54,validation
COc1ccccc1OC,1.6,validation
O=C(O)C(O)c1ccccc1,0.62,validation
COc1cccc(S(C)(=O)=O)c1,0.76,validation
CNc1ccccc1[N+](=O)[O-],2.18,validation
N=c1[nH]cnc2c1ncn2C1OC2COP(=O)(OCc3ccccc3)OC2C1O,1.15,validation
CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,4.29,validation
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCN=c1[nH][nH]c(=N)[nH]1)C(C)C,4.0,validation
CCCCOc1ccc(C(=O)OCCN(C)C)cc1,3.91,validation
Cc1ccc(-c2noc(C)n2)cc1,2.74,validation
CC(=O)OCC1SC(n2ccnc2[N+](=O)[O-])C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0.63,validation
Oc1cc(O)n(Cc2ccccc2)c1,0.76,validation
CCCCCCc1ccncc1,4.35,validation
CCS(=O)c1sc(C(C)=O)c(C)c1C#N,2.22,validation
CC(=O)Nc1ccccc1,1.16,validation
Cc1cccc2cc3cccc(C(=O)NCCCN(C)CCCN=c4[nH][n+]([O-])c5ccccc5[n+]4[O-])c3nc12,2.28,validation
O=C1c2ccccc2-c2ccccc21,3.58,validation
CCCCC(C)O,1.76,validation
CC1(C)N=C(N)N=C(N)N1c1cccc(C#N)c1,-0.24,validation
CC(=O)OCC(COC(C)=O)OC(C)=O,0.25,validation
CCOc1ccc(OC(=O)NC)cc1,1.63,validation
OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,4.25,validation
NS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,-0.96,validation
COc1ccc(C(C)=O)cc1COC(=O)c1cc(Cl)ccc1Cl,4.45,validation
c1ccc2nn(C34CC5CC(CC(C5)C3)C4)nc2c1,4.3,validation
O=NN1CCNCC1,0.18,validation
C=CCn1cnc2c(=N)n(C)c(=O)[nH]c21,-0.57,validation
Cc1ccc(NC(=O)N(C)C)cc1,1.33,validation
Cc1cc(C)cc(NCc2cnc3[nH]c(=N)[nH]c(=N)c3c2C)c1,2.11,validation
CCCCCCCSC1OC(CO)C(O)C(O)C1O,1.5,validation
COc1ccc(Cl)c(Cl)c1Cl,3.74,validation
CC(=O)Oc1ccc(C(=O)Nc2cccc(C(=O)c3cccc(NC(=O)c4ccc(OC(C)=O)cc4)c3)c2)cc1,5.34,validation
CC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-0.2,validation
Clc1cc(Cl)c(Oc2ccccc2)c(Cl)c1Cl,5.88,validation
COC(=O)C=C1OC(=N)C(C(=O)OCc2ccccc2)[C@@]2(C(=O)Nc3ccccc32)C1C(=O)OC,4.25,validation
CC(C)(C)C1CCN(N=O)CC1,2.54,validation
Clc1cccc(Cl)c1-c1ccccc1,4.98,validation
CC(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O,-0.54,validation
COc1ccc([C@H]2C[C@H](C(F)(F)F)n3ncc(C(=O)N(C)Cc4cnn(C)c4C)c3N2)cc1OC,4.25,validation
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1,2.63,validation
Cc1cccc(C)n1,1.68,validation
Clc1ccc(Cl)c(NC2=NCCN2)c1,2.04,validation
CC[C@H]1CS/C(=N\c2cccc(C)c2)N1C(=O)CCN1C(=O)c2ccccc2C1=O,4.96,validation
CCN(CC)CCSC(=NO)c1nc(C)no1,0.71,validation
CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.27,validation
O=C(O)c1ccccc1O,2.26,validation
CCc1cc(C)ccc1C,4.43,validation
NC(=O)c1ccc(Cl)nn1,0.0,validation
NC(=O)c1cnc2ccccc2c1,1.06,validation
COc1ccc2c(=O)c(C)c(C(C)C)oc2c1,3.39,validation
N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])c(Cl)c1,1.79,validation
Nc1ccc(S(=O)(=O)c2ccc(Cl)cc2)cc1,2.57,validation
O=[N+]([O-])c1ccc(OCCn2ccnc2)cc1,1.69,validation
CC12C=CC(=O)C=C1C(F)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.51,validation
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,5.19,validation
CN(C)C(=O)Oc1ccc(CC(NC(=O)C2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCCOc2ccccc2)cc1,3.27,validation
CNC(=O)Nc1cccc(Cl)c1,2.18,validation
NC1CC2OC1c1ccccc12,0.4,validation
ClCC(Cl)(Cl)CCl,2.72,validation
CSc1cc(C(C)C(=O)O)ccc1-c1nccs1,3.02,validation
O=C1/C(=C/c2c(Sc3ccccc3)nc3ccccn3c2=O)SC(=S)N1C[C@H]1CCCO1,5.87,validation
CC(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,0.43,validation
CCC(C(=O)N1CCCN(C(=O)C(CC)c2ccccc2)CC1)c1ccccc1,4.93,validation
CCC(CC)COC(=O)N(C)C,2.87,validation
CC(C)OC(=O)CC(CN)c1ccc(Cl)cc1,1.27,validation
COC(=O)C(C#N)=NNc1ccccc1C(F)(F)F,3.7,validation
O=C1C=CC(=O)C=C1,0.2,validation
Cc1cc(Br)cc(C)c1NC1=NCCN1,2.8,validation
Nc1ccc(C(=O)Oc2ccc(Br)cc2)c(O)c1,3.46,validation
Nc1c(Cl)cc(Cl)cc1Cl,3.52,validation
Clc1ccc(Oc2ccccc2)c(Cl)c1Cl,5.55,validation
c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,7.11,validation
CNC12CCCCC1c1ccccc1C2,3.43,validation
C[N+](C)(C)[N-]C(=O)CCCCC(=O)[N-][N+](C)(C)C,-1.22,validation
C/C(=C\c1ccccc1)[N+](=O)[O-],2.52,validation
NC(=O)c1cnc2n(c1=O)CCCC2,-0.38,validation
COC(=O)c1cc(Oc2cc(C(F)(F)F)ccc2Cl)ccc1[N+](=O)[O-],4.21,validation
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,3.1,validation
COc1cc(C(=O)Nc2ccccc2C(C)(C)C)cc(OC)c1OC,3.61,validation
CN(C)c1ccc(-c2nc3ccc(Br)cc3s2)cc1,4.4,validation
O=[N+]([O-])/C=C/c1ccccc1,2.11,validation
COC(=O)c1ccc(C)cc1,2.7,validation
CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,2.9,validation
Cc1[nH]nc(C(=O)NCCc2ccccc2)c1[N+](=O)[O-],1.82,validation
O=C1C=C(N2CC=CC2)C(=O)c2ccccc21,2.85,validation
CCCCCC(=O)Nc1ccccc1,3.28,validation
O=C(OCc1ccccc1)c1ccc(O)cc1,3.56,validation
CCCCCC(=O)NN,0.48,validation
CC(CCC(=O)NCc1ccccc1)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,3.54,validation
[O-][n+]1ccccc1,-1.2,validation
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,5.9,validation
O=[N+]([O-])c1c[nH]c(=NC2=NCCN2)s1,1.38,validation
CN(C)C(N(C)C)=S(I)c1cccc(F)c1,-0.53,validation
CCOC(=O)C(=Cc1ccc(Br)cc1)C(=O)OCC,4.02,validation
CCCCCN=C(N)N=C(N)N,-1.02,validation
CS(C)(=O)=O,-1.41,validation
CC[C@@H]1CCCCN1C(=O)C1CC(c2cc(Cl)c(OC)cc2OC)=NO1,4.55,validation
NCCCc1ccncc1,0.4,validation
NNC(=O)c1ccc(I)cc1,1.55,validation
CC(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,0.51,validation
Clc1ccc2c(c1)Oc1c(cc(Cl)c(Cl)c1Cl)O2,6.9,validation
Clc1ccc(Oc2ccccc2Cl)cc1,5.03,validation
O=C(O)CCCCCOc1cccc2ccccc12,4.5,validation
Cc1ccccc1,2.73,validation
O=C(COc1cccc2ccccc12)O[Na],-1.5,validation
CCC(C)C(NC(=O)C(CC(C)C)NC(C)=O)C(N)=O,0.68,validation
COc1cccc2c(O)c3c(O)c4c(c(O)c3c(N)c12)=C(OC1CC(N2CCOCC2)C(O)C(C)O1)CC(O)(C(=O)CO)C=4,1.8,validation
CNCC(O)c1ccc(O)c(O)c1,-1.37,validation
CC(C)NNC(=O)COc1ccccc1,1.24,validation
Cc1nc2ccccn2c(=O)c1C,1.0,validation
Cc1cc(=O)n(CCOc2ccc3ccccc3c2)[nH]1,2.74,validation
O=S(=O)(CCl)c1ccccc1,1.24,validation
O=C(CI)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,1.03,validation
C#CCOc1c(Cl)cc(N=CNOCOC)cc1Cl,3.2,validation
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3nccc4ccccc34)c2s1,2.35,validation
CN(C)CCc1cccs1,1.99,validation
CCNC(=S)Nc1ccccc1,1.42,validation
CC(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(N)=O,-1.3,validation
CCS(=O)(=O)CC,-0.59,validation
O=c1cccc(Cl)[nH]1,0.93,validation
NC(=O)c1c(F)cccc1Br,0.63,validation
C=CCN1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC,1.79,validation
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-2.1,validation
Clc1ccc2ccc(Cl)cc2c1,4.81,validation
CCCCC(CCC)C(=O)O,3.01,validation
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,6.8,validation
Cc1cc(NC(=O)N=C(N)N)ccc1Cl,2.19,validation
OC1c2ccccc2C2CCCCC2C1O,2.32,validation
CCCOc1cc(Br)c(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,2.84,validation
CCC(C)C(N)C(=O)NC(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,-1.47,validation
O=C(O)Cc1ccccc1Nc1cc(Cl)ccc1Cl,4.94,validation
O=C1C=NC(c2ccc(Br)cc2)c2cc(Br)ccc2N1,4.04,validation
COc1cc(Cl)c(Nc2ccccc2CC(=O)O)c(Cl)c1,4.44,validation
Cn1cnc(Cl)c1[N+](=O)[O-],0.69,validation
c1c[nH]nn1,-0.29,validation
NCCc1cn2ccccc2n1,0.59,validation
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,4.03,validation
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)cc21,0.34,validation
N#Cc1ccc(OC(=O)CNC(=O)c2ccccc2)cc1,2.11,validation
O=NN1CCC(c2ccccc2)CC1,2.59,validation
O=C(OCC(=O)N(CCO)CCO)c1ccccc1,0.17,validation
CC(=O)c1cc2cccc(OCC(O)CNC(C)C)c2o1,2.02,validation
CC(C)C=NCC(=O)NC(=O)C=[NH+][NH-],0.37,validation
Cc1ccc(-c2cc3ccccn3c2)cc1,4.96,validation
CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,2.24,validation
CC(O)CCC(=O)c1ccoc1,0.84,validation
Cc1ccc([N+](=O)[O-])cc1O,2.47,validation
C=C1C(=O)OC2C=C(C)C(OC(C)=O)CC(O)C(C)=CC(OC(=O)C(C)=CC)C12,1.16,validation
CCN(CC)C(=O)COC(=O)c1ccccc1,2.06,validation
C#CC(C=CCl)(CC)OC(N)=O,1.71,validation
O=c1cc(-c2ccc(O)c(O)c2)oc2cccc(O)c12,3.31,validation
CCOCC(N)C(=O)O,-2.51,validation
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.45,validation
Nc1cc2ccccc2c2ccccc12,3.56,validation
COC(=O)c1cccc(-n2c(O)ccc2O)c1,0.36,validation
CC(C)(C)C(COc1ccc(C(F)(F)F)cc1)OC(=O)n1ccnc1,4.15,validation
CCCN(CCC)C(=O)SCC,3.21,validation
CCCOC(=O)c1cccs1,3.01,validation
CC1=C(C(=O)N2CCCCC2)C(c2cccs2)C2C(=O)CCCC2=N1,3.37,validation
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,4.12,validation
COc1ccccc1C(=O)NCCCCN,0.58,validation
O=C1CN=C(c2ccccc2F)c2cc(I)ccc2N1CC(O)CO,1.81,validation
CC(C)(C)C1(C)OC(C(N)=O)C(C(N)=O)O1,1.6,validation
COc1ccc(CO)cc1,1.1,validation
CCCCCc1cc(OC)c2c(c1)OC(C)(C)C1CC=C(C)CC21,8.06,validation
O=C1CC(Oc2ccccc2C(=O)c2ccccc2)N1,1.83,validation
CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCN)C(C)C,3.5,validation
COc1ccc2cc(C(C)C(=O)OCC=C(C)CCC=C(C)C)ccc2c1,7.77,validation
CCCCCCOc1ccc(CC(=O)O)cc1,3.96,validation
c1ccc(C2CCCN2)cc1,1.89,validation
CN(Cc1ccccc1)c1ccccc1,4.22,validation
OCc1cc(Br)cc(Br)c1O,2.72,validation
CC(C(=O)NC1CCCC1)N(c1ccc(Cl)cc1)S(C)(=O)=O,3.48,validation
CCOP(=S)(OCC)Oc1cccc(F)n1,3.51,validation
O=C1CC(c2ccccc2)c2ccccc2N1,2.79,validation
CN(C)C(=O)Cc1cccs1,0.65,validation
